Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G.1,A.1,G.2,A.2,Hits,BS
Tomas Hertl,SJ,LW,50,19,24,43,1,27,112,2,4,6,1,0,39,39
Logan Couture,SJ,C,53,17,14,31,-11,25,114,2,2,4,1,0,58,39
Kevin Labanc,SJ,RW,55,12,16,28,-9,31,128,2,0,3,0,0,61,15
Nico Sturm,SJ,C,50,11,6,17,10,17,64,2,0,0,0,0,48,26
Luke Kunin,SJ,C,38,10,9,19,3,13,71,2,0,0,0,0,84,20
Oskar Lindblom,SJ,LW,50,8,6,14,-9,9,58,1,0,0,0,0,43,24
Erik Karlsson,SJ,D,52,8,14,22,-18,18,110,1,3,5,0,1,20,69
Noah Gregor,SJ,C,30,5,1,6,-16,6,60,0,0,0,0,0,47,19
Andreas Johnsson,SJ,LW,50,5,6,11,-1,12,65,0,1,0,0,0,39,17
Alexander Barabanov,SJ,RW,22,3,5,8,1,6,23,1,1,0,0,0,7,14
Evgeny Svechnikov,SJ,LW,21,3,5,8,-3,10,21,1,1,1,0,0,20,6
Radim Simek,SJ,D,40,2,4,6,-9,15,26,0,0,0,0,0,76,49
Steven Lorentz,SJ,C,45,2,6,8,1,8,40,1,0,0,0,0,47,16
Nikolai Knyzhov,SJ,D,56,2,8,10,-9,39,51,1,0,0,0,0,84,54
Mario Ferraro,SJ,D,56,1,16,17,-6,22,58,0,0,4,0,0,155,96
Marc-Edouard Vlasic,SJ,D,51,1,5,6,-8,8,37,0,0,0,0,0,40,64
Matt Benning,SJ,D,53,1,3,4,-1,30,43,0,0,0,0,1,55,53
Jacob MacDonald,SJ,D,33,1,8,9,14,8,49,0,0,0,0,0,38,31
Andrew Agozzino,SJ,LW,3,0,1,1,0,0,3,0,0,0,0,0,6,7
Jeffrey Viel,SJ,LW,11,0,0,0,-7,23,10,0,0,0,0,0,22,0
Jonah Gadjovich,SJ,LW,1,0,0,0,-1,17,0,0,0,0,0,0,1,0
Martin Kaut,SJ,RW,5,0,0,0,-1,4,2,0,0,0,0,0,6,1
