Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,Hits,BS
Tomas Hertl,SJ,LW,82,30,34,64,-9,30,205,6,105,57
Logan Couture,SJ,C,77,23,33,56,-11,18,199,3,92,58
Luke Kunin,SJ,C,82,13,9,22,-11,99,125,0,223,51
Andreas Johnsson,SJ,LW,71,13,22,35,4,30,114,0,64,22
Oskar Lindblom,SJ,LW,79,12,14,26,-11,22,127,1,83,48
Jacob Peterson,SJ,LW,65,12,5,17,-1,12,85,5,22,23
Erik Karlsson,SJ,D,50,10,25,35,-14,14,117,2,18,45
Alexander Barabanov,SJ,RW,70,10,29,39,-5,14,103,1,53,39
Nico Sturm,SJ,C,74,9,11,20,-7,14,101,0,99,29
Noah Gregor,SJ,C,63,8,15,23,-21,25,156,1,118,49
Steven Lorentz,SJ,C,67,8,5,13,0,8,80,1,67,13
Evgeny Svechnikov,SJ,LW,72,7,12,19,-4,38,78,1,104,22
Fabian Zetterlund,SJ,LW,14,3,5,8,5,0,36,0,16,7
Jeffrey Viel,SJ,LW,34,3,2,5,-2,114,30,0,84,11
Kevin Labanc,SJ,RW,21,3,3,6,-4,6,36,1,28,9
Marc-Edouard Vlasic,SJ,D,75,3,11,14,-22,18,63,0,54,90
Mario Ferraro,SJ,D,63,2,12,14,-5,16,49,1,140,151
Jonah Gadjovich,SJ,LW,43,1,2,3,-9,74,36,0,104,14
Radim Simek,SJ,D,36,1,1,2,-13,8,25,0,96,39
Nikita Okhotyuk,SJ,D,5,1,1,2,-2,2,5,0,16,1
Derrick Pouliot,SJ,D,11,0,4,4,6,4,8,0,10,14
Andrew Agozzino,SJ,LW,1,0,0,0,0,0,1,0,4,0
Jacob MacDonald,SJ,D,8,0,0,0,-1,2,17,0,9,3
C.J. Suess,SJ,LW,3,0,0,0,0,2,0,0,2,5
Matt Benning,SJ,D,65,0,11,11,-24,39,61,0,82,67
William Eklund,SJ,LW,9,0,4,4,-3,2,8,0,4,4
Thomas Bordeleau,SJ,LW,8,0,5,5,-1,0,13,0,3,4
Adam Raska,SJ,LW,5,0,0,0,1,7,2,0,15,0
Kyle Criscuolo,SJ,C,6,0,2,2,1,2,5,0,6,1
Martin Kaut,SJ,RW,6,0,0,0,2,0,1,0,6,3
